point: 2024-12-3 14:26:0 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1639
point: 2024-12-3 14:26:10 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1639
point: 2024-12-3 14:26:20 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1639
point: 2024-12-3 14:26:30 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1640
point: 2024-12-3 14:26:40 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1640
point: 2024-12-3 14:26:50 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0709 | Longitude: 1.1640
point: 2024-12-3 14:27:0 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1640
point: 2024-12-3 14:9:50 (-1030 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1638
point: 2024-12-3 14:10:0 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1638
point: 2024-12-3 14:10:10 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1637
point: 2024-12-3 14:10:20 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1637
point: 2024-12-3 14:10:30 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1637
point: 2024-12-3 14:11:0 (30 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:11:10 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:11:20 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:11:30 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:11:40 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:12:0 (20 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:12:10 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:12:20 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1639
point: 2024-12-3 14:12:30 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1639
point: 2024-12-3 14:12:40 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1639
point: 2024-12-3 14:13:0 (20 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0706 | Longitude: 1.1640
point: 2024-12-3 14:13:10 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0706 | Longitude: 1.1640
point: 2024-12-3 14:13:20 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0706 | Longitude: 1.1641
point: 2024-12-3 14:13:30 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0706 | Longitude: 1.1640
point: 2024-12-3 14:13:40 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:14:0 (20 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0706 | Longitude: 1.1641
point: 2024-12-3 14:14:10 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0706 | Longitude: 1.1641
point: 2024-12-3 14:14:20 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0705 | Longitude: 1.1641
point: 2024-12-3 14:14:30 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0705 | Longitude: 1.1641
point: 2024-12-3 14:14:40 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0705 | Longitude: 1.1641
point: 2024-12-3 14:15:0 (20 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1641
point: 2024-12-3 14:15:10 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1641
point: 2024-12-3 14:15:20 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1641
point: 2024-12-3 14:15:30 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1641
point: 2024-12-3 14:15:40 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1641
point: 2024-12-3 14:15:50 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0706 | Longitude: 1.1641
point: 2024-12-3 14:16:0 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0706 | Longitude: 1.1641
point: 2024-12-3 14:16:10 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1641
point: 2024-12-3 14:16:20 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1641
point: 2024-12-3 14:16:30 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1641
point: 2024-12-3 14:16:40 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1641
point: 2024-12-3 14:16:50 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1641
point: 2024-12-3 14:17:0 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:17:10 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:17:20 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1641
point: 2024-12-3 14:17:30 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1641
point: 2024-12-3 14:17:40 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0706 | Longitude: 1.1640
point: 2024-12-3 14:17:50 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:18:0 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:18:10 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:18:20 (10 seconds elapsed) | Message: 19 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:1:30 (-1010 seconds elapsed) | Message: 20 | Mode: GSM | ICCID: 4 | Latitude: 45.0622 | Longitude: 1.1569
point: 2024-12-3 14:1:40 (10 seconds elapsed) | Message: 20 | Mode: GSM | ICCID: 4 | Latitude: 45.0628 | Longitude: 1.1576
point: 2024-12-3 14:2:0 (20 seconds elapsed) | Message: 20 | Mode: GSM | ICCID: 4 | Latitude: 45.0635 | Longitude: 1.1583
point: 2024-12-3 14:2:10 (10 seconds elapsed) | Message: 20 | Mode: GSM | ICCID: 4 | Latitude: 45.0636 | Longitude: 1.1582
point: 2024-12-3 14:2:20 (10 seconds elapsed) | Message: 20 | Mode: GSM | ICCID: 4 | Latitude: 45.0642 | Longitude: 1.1585
point: 2024-12-3 14:2:30 (10 seconds elapsed) | Message: 20 | Mode: GSM | ICCID: 4 | Latitude: 45.0650 | Longitude: 1.1590
point: 2024-12-3 14:2:40 (10 seconds elapsed) | Message: 20 | Mode: GSM | ICCID: 4 | Latitude: 45.0657 | Longitude: 1.1593
